"maxratiode"	"maxratio_cen_zio"	"maxratio_cen_pot"	"maxratiode2"	"averatiode"	"averatio_cen_zio"	"averatio_cen_pot"	"averatiode2"
"1"	1.00458906106737	1.00152968702246	1.43496042917841	1.00152968702246	1.00318469654233	1.00106156551411	1.204997849952	1.00106156551411
"2"	1.01642317148628	1.00547439049543	1.55195218412879	1.00547439049543	1.01267431169358	1.00422477056453	1.22759398049674	1.00422477056453
"3"	1.03404992489596	1.01134997496532	1.60593428324246	1.01134997496532	1.02476099152739	1.00825366384246	1.52448493251051	1.00825366384246
"4"	1.06365147903899	1.02121715967966	1.39180284865717	1.02121715967966	1.04243783593727	1.01414594531242	1.20829289032481	1.01414594531242
"5"	1.0758537087415	1.0252845695805	1.3035624321389	1.0252845695805	1.05782850535843	1.01927616845281	1.25920781058477	1.01927616845281
"6"	1.10493727725564	1.03497909241855	1.52538395741301	1.03497909241855	1.07795507845545	1.02598502615182	1.45715343895578	1.02598502615182
"7"	1.14253877974811	1.0475129265827	1.60169840675057	1.0475129265827	1.11013518897691	1.03671172965897	1.47399516679452	1.03671172965897
"8"	1.17095104678498	1.05698368226166	1.31689873567766	1.05698368226166	1.13019985379536	1.0434939234678	1.17540296089942	1.0434939234678
"9"	1.20711756842682	1.06903918947561	1.16591115510641	1.06903918947561	1.16444278565474	1.05550433498912	1.13720545157875	1.05550433498912
"10"	1.24038467029351	1.09073194172098	1.25614850013754	1.09073194172098	1.19028491819216	1.06725644872677	1.20677199811492	1.06725644872677
"11"	1.27341527833949	1.1042745835462	1.30782526640607	1.1042745835462	1.19713127430392	1.0732160578055	1.27068276641865	1.0732160578055
"12"	1.28304323354991	1.11969705321341	1.3479719999056	1.11969705321341	1.20302865059493	1.0824612046121	1.31614724869504	1.08237765162954
"13"	1.25159078638861	1.11657865509472	1.42694887587316	1.11657865509472	1.21140490752821	1.09462129123682	1.36223590331363	1.09440863026964
"14"	1.27508256219208	1.1486111137736	1.44940523415281	1.14380438525062	1.21306215620935	1.10445458759392	1.3251035096811	1.10348547726053
"15"	1.24034732272339	1.14691882616984	1.31771833332253	1.14378741530162	1.20871675023943	1.10644341167524	1.2476042559384	1.10495314545497
"16"	1.25293658964947	1.15957390145124	1.23117129146687	1.14771080387115	1.22234357929885	1.12842056589381	1.14349398916176	1.12381642428388
"17"	1.25084315325044	1.16199784777546	1.13134515952593	1.15461703275123	1.22131613947158	1.13234034330663	1.09185893096638	1.12788200117224
"18"	1.26790984279792	1.17575534962698	1.11914631269765	1.16778785678685	1.222537767051	1.14019269552423	1.09980295341345	1.13389657488239
"19"	1.26383103142024	1.18334048395325	1.14110129240261	1.16342360634379	1.22747533434319	1.14673698904148	1.11443782052984	1.13852840400486
"20"	1.29189868544781	1.19112807812904	1.16177225940066	1.1692061548928	1.23783108507077	1.16088151060732	1.12201059502939	1.14976346064954
"21"	1.29094629244061	1.21028192577012	1.1760005641652	1.18075550935499	1.24799987417751	1.16514345335922	1.13580700799448	1.15368727424662
"22"	1.32430460394462	1.21665997727199	1.18599935524979	1.18946488481818	1.24877865774934	1.16598129548832	1.14839828155736	1.15336440539723
"23"	1.31084198106446	1.20221909607161	1.18842584335821	1.18950841903269	1.26022917058529	1.16669284521107	1.15396346629216	1.1564954138865
"24"	1.36720295787572	1.24187727159908	1.19886909028858	1.23433936506916	1.28650280894865	1.18109355514622	1.15947446459229	1.1800555329746
"25"	1.37677162754817	1.22320957201141	1.20430226018599	1.22505357463833	1.29000391691327	1.17966611080104	1.16545246594497	1.17753759406533
"26"	1.32918852936943	1.21171077340862	1.18900386012878	1.20230719921215	1.28296892465335	1.17173670034509	1.16400597032761	1.17463096685198
"27"	1.34745055575401	1.21253023598457	1.22098011770004	1.21461838154629	1.28440954439077	1.16646369569956	1.17672895811897	1.17601067199699
"28"	1.33874248339958	1.20848034441116	1.2123708977029	1.20669911683191	1.29155884342702	1.16143051719658	1.16963513179897	1.18120957294564
"29"	1.34593000831364	1.203090165033	1.20661577904314	1.20330990327307	1.29110254805753	1.16400561124706	1.16979735972639	1.18135027956588
"30"	1.3351558164964	1.19425262583979	1.19064315618904	1.21668695605263	1.29190321562858	1.14875149136958	1.14684026753863	1.17844629543015
"31"	1.34182168122601	1.18011929340115	1.20880262831941	1.20661002294537	1.29835835165513	1.13827006514515	1.15697302345014	1.1748636004348
"32"	1.34664495001375	1.19931263183552	1.18709510330395	1.22141069278908	1.29480847074263	1.12853034409101	1.14684232985337	1.18570087253569
"33"	1.35825516283941	1.20812848525132	1.20096765950003	1.22871803451208	1.29600904139267	1.12359038594489	1.1402557867501	1.18356884396293
"34"	1.34974820806967	1.1969207338484	1.20149240975926	1.21452092511979	1.29102681218461	1.13409285827436	1.14887787682623	1.18141050583231
"35"	1.34728227771723	1.208703568207	1.20385997372849	1.2247476904555	1.29414057873436	1.13322640127654	1.1389662203619	1.17682671704853
"36"	1.33279906911093	1.19836968558579	1.206378003781	1.20354516224061	1.28995101896938	1.13256934844493	1.14479340952836	1.1805482149828
"37"	1.34806362230467	1.20057631829632	1.20831069809958	1.20936929934929	1.29917913180757	1.14360179281074	1.14422444093782	1.18403905180722
"38"	1.31606521300879	1.20117965708421	1.2083278734385	1.20273529082936	1.28420419141918	1.12724931298986	1.14148117810955	1.17483141394377
"39"	1.3330526193111	1.19729469595527	1.19915811500792	1.21947289843442	1.2934197108516	1.13521034000999	1.15982238598939	1.18551553946075
